'bout	baʊt
abc's	ˈeɪˌbiˌsiz
abco	ˈæb.koʊ
abcotek	ˈæb.koʊˌtɛk
abcs	ˈeɪˌbiˌsiz
abd	ˌeɪˌbiˈdi
abdalla	ˌæbˈdæl.ə
abdallah	ˌæbˈdæl.ə
abdel	ˈæbˌdɛl
abdella	ˌæbˈdɛl.ə
abdicate	ˈæb.dəˌkeɪt
abdicated	ˈæb.dəˌkeɪ.tɪd
abdicates	ˈæb.dəˌkeɪts
abdicating	ˈæb.dɪˌkeɪ.tɪŋ
abdication	ˌæb.dɪˈkeɪ.ʃən
abdnor	ˈæbd.nɚ
abdo	ˈæb.doʊ
abdollah	ˌæbˈdɑ.lə
abdomen	æbˈdoʊ.mən|ˈæb.də.mən
abdominal	æbˈdɑ.mə.nəl|əbˈdɑ.mə.nəl
abduct	æbˈdʌkt
abducted	æbˈdʌk.tɪd|əbˈdʌk.tɪd
abductee	æbˌdʌkˈti
abductees	æbˌdʌkˈtiz
abducting	æbˈdʌk.tɪŋ|əbˈdʌk.tɪŋ
abduction	æbˈdʌk.ʃən|əbˈdʌk.ʃən
abductions	æbˈdʌk.ʃənz|əbˈdʌk.ʃənz
abductor	æbˈdʌk.tɚ|əbˈdʌk.tɚ
abductors	æbˈdʌk.tɚz|əbˈdʌk.tɚz
abducts	æbˈdʌkts
abdul	æbˈdul
abdulaziz	æbˌdu.ləˈziz
abdulla	ɑbˈdu.lə
abdullah	ˌæbˈdʌl.ə
abe	eɪb
abed	əˈbɛd
abedi	əˈbɛd.i
abee	əˈbi
abel	ˈeɪ.bəl
abela	ɑˈbɛl.ə
abelard	ˈæb.ɪ.lɚd
abele	əˈbɛl
abeles	əˈbɛlz|ˈeɪ.bəˌliz
abell	ˈeɪ.bəl
abella	əˈbɛl.ə
abeln	ˈæb.ɪln
abelow	ˈæb.ə.loʊ
abels	ˈeɪ.bəlz
abelson	ˈæb.ɪl.sən
abend	ˈæb.ɛnd|əˈbɛnd
abendroth	ˈæb.ɪn.dɹɔθ
aber	ˈeɪ.bɚ
abercrombie	ˌæ.bɚˈkɹɑm.bi
aberdeen	ˈæb.ɚˌdin
aberford	ˈeɪ.bɚ.fɚd
aberg	ˈæb.ɚɡ
aberle	ˈæb.ɚ.əl|ˈæb.ɚl
abermin	ˈæb.ɚ.mɪn
abernathy	ˈæb.ɚˌnæ.θi
abernethy	ˈæb.ɚˌnɛ.θi
aberrant	æˈbɛɹ.ənt
aberration	ˌæ.bɚˈeɪ.ʃən
aberrational	ˌæ.bɚˈeɪ.ʃə.nəl
aberrations	ˌæ.bɚˈeɪ.ʃənz
abert	ˈæb.ɚt
abet	əˈbɛt
abetted	əˈbɛt.ɪd
abetting	əˈbɛt.ɪŋ
abex	ˈeɪ.bɛks
abeyance	əˈbeɪ.əns
abeyta	ɑˈbeɪ.tə
abhor	æbˈhɔɹ
abhorred	əbˈhɔɹd
abhorrence	əbˈhɔ.ɹəns
abhorrent	æbˈhɔ.ɹənt
abhors	əbˈhɔɹz
abiam	ˈeɪ.bi.əm
abiam's	ˈeɪ.bi.əmz
abid	ˈeɪ.bɪd
abide	əˈbaɪd
abided	əˈbaɪ.dɪd
abides	əˈbaɪdz
abiding	əˈbaɪ.dɪŋ
abidjan	æ.bɪˈdʒɑn
abie	ˈæb.i
abigail	ˈæb.əˌɡeɪl
abila	ɑˈbi.lə
abilene	ˈæb.ɪˌlin
abilities	əˈbɪl.əˌtiz
ability	əˈbɪl.əˌti
abimael	ˌæ.bɪˈmeɪl
abimaels	ˌæ.bɪˈmeɪlz
abingdon	ˈæb.ɪŋ.dən
abington	ˈæb.ɪŋ.tən
abio	ˈɑ.bi.oʊ
abiola	ˌɑ.biˈoʊ.lə
abiola's	ˌɑ.biˈoʊ.ləz
abiomed	eɪˈbi.ə.mɛd
abiquiu	əˈbɪk.ju
abitibi	ˌæ.bɪˈti.bi
abitz	ˈæb.ɪts
abject	ˈæb.dʒɛkt
abkhazia	æbˈkɑ.zjə|æbˈkæz.jə
abkhazian	æbˈkɑ.zi.ən|æbˈkæz.i.ən|æbˈkɑ.zjən|æbˈkæz.jən
abkhazians	æbˈkɑ.zi.ənz|æbˈkæz.i.ənz
ablate	ˌʌˈbleɪt
ablation	ˌʌˈbleɪ.ʃən
ablaze	əˈbleɪz
able	ˈeɪ.bəl
able-bodied	ˈeɪ.bəlˈbɑ.did
abled	ˈeɪ.bəld
abler	ˈeɪ.bə.lɚ|ˈeɪ.blɚ
ables	ˈeɪ.bəlz
ablest	ˈeɪ.bəlst|ˈeɪ.bləst
abloom	əˈblum
ablution	əˈblu.ʃən
ablutions	əˈblu.ʃənz
ably	ˈeɪ.bli
abnegation	ˌæb.nɛˈɡeɪ.ʃən
abner	ˈæb.nɚ
abney	ˈæb.ni
abnormal	æbˈnɔɹ.məl
abnormalities	ˌæb.nɔɹˈmæl.ə.tiz
abnormality	ˌæb.nɔɹˈmæl.ə.ti
abnormally	æbˈnɔɹ.mə.li
abo	ˈɑ.boʊ
abo's	ˈɑ.boʊz
aboard	əˈbɔɹd
abode	əˈboʊd
abohalima	æ.bə.həˈli.mə
abolish	əˈbɑ.lɪʃ
abolished	əˈbɑ.lɪʃt
abolishes	əˈbɑ.lɪ.ʃɪz
abolishing	əˈbɑ.lɪ.ʃɪŋ
abolition	ˌæ.bəˈlɪʃ.ən
abolitionism	ˌæ.bəˈlɪʃ.əˌnɪ.zəm
abolitionist	ˌæ.bəˈlɪʃ.ə.nəst
abolitionists	ˌæ.bəˈlɪʃ.ə.nəsts
abominable	əˈbɑ.mə.nə.bəl
abomination	əˌbɑ.məˈneɪ.ʃən
abominations	əˌbɑ.məˈneɪ.ʃənz
abood	əˈbud
aboodi	əˈbu.di
abor	əˈbɔɹ
aboriginal	ˌæ.bɚˈɪdʒ.ə.nəl
aborigine	ˌæ.bɚˈɪdʒ.ə.ni
aborigines	ˌæ.bɚˈɪdʒ.ə.niz
aborn	əˈbɔɹn
abort	əˈbɔɹt
aborted	əˈbɔɹ.tɪd
abortifacient	əˌbɔɹ.təˈfeɪ.ʃənt
abortifacients	əˌbɔɹ.təˈfeɪ.ʃənts
aborting	əˈbɔɹ.tɪŋ
abortion	əˈbɔɹ.ʃən
abortionist	əˈbɔɹ.ʃə.nɪst
abortionists	əˈbɔɹ.ʃə.nɪsts
abortions	əˈbɔɹ.ʃənz
abortive	əˈbɔɹ.tɪv
aborts	əˈbɔɹts
abott	əˈbɑt
abou	əˈbu
aboud	ɑˈbud
abouhalima	ˌɑ.bu.hɑˈli.mə
abouhalima's	ˌɑ.bu.hɑˈli.məz
abound	əˈbaʊnd
abounded	əˈbaʊn.dɪd
abounding	əˈbaʊn.dɪŋ
abounds	əˈbaʊndz
about	əˈbaʊt
about's	əˈbaʊts
above	əˈbʌv
above's	əˈbʌvz
aboveboard	əˈbʌvˌbɔɹd
abplanalp	ˈæb.plə.nælp
abra	ˈɑ.bɹə
abracadabra	ˌæ.bɹə.kəˈdæb.ɹə
abrade	æˈbɹeɪd
abraded	æˈbɹeɪ.dɪd
abrades	æˈbɹeɪdz
abraham	ˈeɪ.bɹəˌhæm
abrahamian	ˌæ.bɹəˈheɪ.mi.ən
abrahams	ˈeɪ.bɹəˌhæmz
abrahamsen	æ.bɹəˈhæm.sən
abrahamson	əˈbɹæh.əm.sən
abram	əˈbɹæm
abram's	ˈeɪ.bɹəmz
abramczyk	ˈɑ.bɹəm.tʃɪk
abramo	ɑˈbɹɑ.moʊ
abramovitz	əˈbɹɑ.mə.vɪts
abramowicz	əˈbɹɑ.mə.vɪtʃ
abramowitz	əˈbɹɑ.mə.wɪts
abrams	ˈeɪ.bɹəmz
abrams's	ˈeɪ.bɹəm.zɪz
abramson	ˈeɪ.bɹəm.sən
abrasion	əˈbɹeɪ.ʒən
abrasions	əˈbɹeɪ.ʒənz
abrasive	əˈbɹeɪ.sɪv
abrasives	əˈbɹeɪ.sɪvz
abraxa	əˈbɹæk.sə
abraxa's	əˈbɹæk.səz
abraxas	əˈbɹæk.səz
abreast	əˈbɹɛst
abrego	ɑˈbɹɛɡ.oʊ
abreu	əˈbɹu
abridge	əˈbɹɪdʒ
abridged	əˈbɹɪdʒd
abridgement	əˈbɹɪdʒ.mənt
abridges	əˈbɹɪdʒ.əz
abridging	əˈbɹɪdʒ.ɪŋ
abril	əˈbɹɪl
abroad	əˈbɹɔd
abrogate	ˈæb.ɹəˌɡeɪt
abrogated	ˈæb.ɹəˌɡeɪ.tɪd
abrogating	ˈæb.ɹəˌɡeɪ.tɪŋ
abrogation	ˌæ.bɹəˈɡeɪ.ʃən
abrol	əˈbɹoʊl
abron	əˈbɹɑn
abrupt	əˈbɹʌpt
abruptly	əˈbɹʌpt.li
abruptness	əˈbɹʌpt.nəs
abrutyn	ˈeɪ.bɹu.tɪn
abruzzese	ɑ.bɹutˈseɪ.zi
abruzzo	ɑˈbɹu.zoʊ
abs	ˈeɪˈbiˈɛs|æbz
absalom	ˈæb.sə.ləm
absaraka	æbˈsɑ.ɹə.kə
abscam	ˈæb.skæm
abscess	ˈæbˌsɛs
abscond	æbˈskɑnd
absconded	æbˈskɑn.dɪd
absconding	æbˈskɑn.dɪŋ
absconds	æbˈskɑndz
absecon	ˈæb.sə.kɔn
absence	ˈæb.səns
absences	ˈæb.sən.sɪz
absent	ˈæb.sənt
absentee	ˌæb.sənˈti
absenteeism	ˌæb.sənˈti.ɪ.zəm
absentees	ˌæb.sənˈtiz
absentia	æbˈsɛn.ʃə
absher	ˈæb.ʃɚ
abshier	ˈæb.ʃi.ɚ
abshire	ˈæbˌʃaɪɹ
absinthe	ˈæb.sɪnθ
abso	ˈæb.soʊ
absolom	ˈæb.sə.ləm
absolut	ˌæb.səˈlut
absolut's	ˌæb.səˈluts
absolute	ˈæb.səˌlut
absolutely	ˌæb.səˈlut.li
absoluteness	ˈæb.səˌlut.nəs
absolutes	ˈæb.səˌluts
absolution	ˌæb.səˈlu.ʃən
absolutism	ˈæb.səˌluˌtɪ.zəm
absolutist	æb.səˈlu.tɪst
absolve	əbˈzɑlv|æbˈzɑlv
absolved	əbˈzɑlvd|æbˈzɑlvd
absolves	əbˈzɑlvz|æbˈzɑlvz
absolving	əbˈzɑl.vɪŋ|æbˈzɑl.vɪŋ
absorb	əbˈzɔɹb
absorbed	əbˈzɔɹbd
absorbency	əbˈzɔɹ.bən.si
absorbent	əbˈzɔɹ.bənt
absorber	əbˈzɔɹ.bɚ
absorbers	əbˈzɔɹ.bɚz
absorbing	əbˈzɔɹ.bɪŋ
absorbs	əbˈzɔɹbz
absorption	əbˈzɔɹp.ʃən|əbˈsɔɹp.ʃən
abstain	əbˈsteɪn|æbˈsteɪn
abstained	əbˈsteɪnd|æbˈsteɪnd
abstaining	əbˈsteɪ.nɪŋ|æbˈsteɪ.nɪŋ
abstention	əbˈstɛn.tʃən|æbˈstɛn.tʃən
abstentions	əbˈstɛn.tʃənz|æbˈstɛn.tʃənz
abstinence	ˈæb.stə.nəns
abstinent	ˈæb.stə.nənt
abston	ˈæb.stən
abstract	æbˈstɹækt|ˈæbˌstɹækt
abstracted	ˈæbˌstɹæk.tɪd
abstraction	æbˈstɹæk.ʃən
abstractions	æbˈstɹæk.ʃənz
abstracts	ˈæb.stɹækts
abstruse	əbˈstɹus
absurd	əbˈsɝd
absurdist	əbˈsɝ.dɪst
absurdities	əbˈsɝ.də.tiz
absurdity	əbˈsɝ.də.ti
absurdly	əbˈsɝd.li
abt	æbt|ˈeɪˈbiˈti
abts	æbts|ˈeɪˈbiˈtiz|ˈeɪˈbiˈtiˈɛs
abu	ˈæb.u
abudrahm	əˈbʌd.ɹəm
abuellah	əbˈwɛl.ə
abuellah's	əbˈwɛl.əz
abuladze	ˌæ.bjuˈlæd.zi
abundance	əˈbʌn.dəns
abundant	əˈbʌn.dənt
abundantly	əˈbʌn.dənt.li
aburto	əˈbʊɹˌtoʊ
aburto's	əˈbʊɹˌtoʊz
abuse	əˈbjus|əˈbjuz
abused	əˈbjuzd
abuser	əˈbju.zɚ
abusers	əˈbju.zɚz
abuses	əˈbju.sɪz|əˈbju.zɪz
abusing	əˈbju.zɪŋ
abusive	əˈbju.sɪv
abut	əˈbʌt
abuts	əˈbʌts
abutted	əˈbʌt.ɪd
abutting	əˈbʌt.ɪŋ
abuzz	əˈbʌz
abysmal	əˈbɪz.məl
abysmally	əˈbɪz.mə.li
abyss	əˈbɪs
abyssinia	æbˈsɪnˌi.ə
abyssinian	æbˈsɪnˌi.ən
abzug	ˈæbˌzʌɡ|ˈæbˌzʊɡ
ac	ˈeɪˈsi
aca	ˈæk.ə
acacia	əˈkeɪ.ʃə
academe	ˈæk.əˌdim
academia	ˌæ.kəˈdi.mi.ə
academic	ˌæ.kəˈdɛm.ɪk
academically	ˌæ.kəˈdɛm.ɪ.kli
academician	ˌæ.kə.dəˈmɪʃ.ən
academicians	ˌæ.kə.dəˈmɪʃ.ənz|əˌkæ.dəˈmɪʃ.ənz
academics	ˌæ.kəˈdɛm.ɪks
academies	əˈkæd.ə.miz
academy	əˈkæd.ə.mi
academy's	əˈkæd.ə.miz
acadia	əˈkeɪ.di.ə
acaena	əˈsi.nə
acampo	əˈkɑm.poʊ
acampora	əˈkæm.pɚ.ə
acampsia	əˈkæmp.sjə
acantha	ɑˈkɑn.ðə
acapulco	ˌæ.kəˈpʊl.koʊ
acary	ˈæk.ɚ.i
acc	ˌaɪˌsiˈsi
accardi	ɑˈkɑɹ.di
accardo	ɑˈkɑɹ.doʊ
accede	ækˈsid
acceded	ækˈsi.dɪd
accedes	ækˈsidz
acceding	ækˈsi.dɪŋ
accel	əkˈsɛl
accelerant	ækˈsɛl.ɚ.ənt
accelerants	ækˈsɛl.ɚ.ənts
accelerate	ækˈsɛl.ɚˌeɪt
accelerated	ækˈsɛl.ɚˌeɪ.tɪd
accelerates	ækˈsɛl.ɚˌeɪts
accelerating	ækˈsɛl.ɚˌeɪ.tɪŋ
acceleration	ˌækˌsɛ.lɚˈeɪ.ʃən
accelerator	ækˈsɛl.ɚˌeɪ.tɚ
accelerators	ækˈsɛl.ɚˌeɪ.tɚz
accelerometer	ækˌsɛ.lɚˈɑ.mə.tɚ
accelerometers	ækˌsɛ.lɚˈɑ.mə.tɚz
accent	əkˈsɛnt|ˈækˌsɛnt
accented	ˈæk.sɛn.tɪd
accenting	ˈæk.sɛn.tɪŋ
accents	ˈæk.sɛnts
accentuate	ækˈsɛn.tʃu.eɪt
accentuated	ækˈsɛn.tʃuˌeɪ.tɪd
accentuates	ækˈsɛn.tʃuˌeɪts
accentuating	ækˈsɛn.tʃuˌeɪ.tɪŋ
accenture	ækˈsɛn.tʃɚ
accept	ækˈsɛpt|əkˈsɛpt
acceptability	əkˌsɛp.təˈbɪl.ə.ti
acceptable	ækˈsɛp.tə.bəl|əkˈsɛp.tə.bəl
acceptably	ækˈsɛp.tə.bli|əkˈsɛp.tə.bli
acceptance	ækˈsɛp.təns|əkˈsɛp.təns
acceptances	ækˈsɛp.tən.sɪz
accepted	ækˈsɛp.tɪd|əkˈsɛp.tɪd
accepting	ækˈsɛp.tɪŋ|əkˈsɛp.tɪŋ
accepts	ækˈsɛpts
access	ˈækˌsɛs
accessed	ˈækˌsɛst
accessibility	ˌæk.sɛ.səˈbɪl.ɪ.ti
accessible	ækˈsɛs.ə.bəl
accessing	ˈækˌsɛ.sɪŋ
accession	əkˈsɛʃ.ən
accessories	ækˈsɛs.ɚ.iz
accessorize	ækˈsɛs.ɚˌaɪz
accessorized	ækˈsɛs.ɚˌaɪzd
accessory	ækˈsɛs.ɚ.i
accetta	ɑˈtʃɛt.ə
accident	ˈæk.sə.dənt
accident's	ˈæk.sə.dənts
accidental	ˌæk.səˈdɛn.təl|ˌæk.səˈdɛn.əl
accidentally	ˌæk.səˈdɛn.tə.li|ˌæk.səˈdɛn.ə.li
accidently	ˈæk.sə.dənt.li
accidents	ˈæk.sə.dənts
accion	ˈætʃ.i.ən
accival	ˈæs.ɪˌvɑl
acclaim	əˈkleɪm
acclaim's	əˈkleɪmz
acclaimed	əˈkleɪmd
acclaiming	əˈkleɪ.mɪŋ
acclaims	əˈkleɪmz
acclamation	ˌæ.kləˈmeɪ.ʃən
acclimate	ˈæk.ləˌmeɪt
acclimated	ˈæk.ləˌmeɪ.tɪd
acclimation	ˌæ.kləˈmeɪ.ʃən
acco	ˈæk.oʊ
accokeek	ˈæk.oʊ.kik
accola	ɑˈkoʊ.lə
accolade	ˈæk.əˌleɪd
accolades	ˈæk.əˌleɪdz
accomando	ɑ.koʊˈmɑn.doʊ
accommodate	əˈkɑ.məˌdeɪt
accommodated	əˈkɑ.məˌdeɪ.tɪd
accommodates	əˈkɑ.məˌdeɪts
accommodating	əˈkɑ.məˌdeɪ.tɪŋ
accommodation	əˌkɑ.məˈdeɪ.ʃən
accommodations	əˌkɑ.məˈdeɪ.ʃənz
accommodative	əˈkɑ.məˌdeɪ.tɪv
accompanied	əˈkʌm.pə.nid
accompanies	əˈkʌm.pə.niz
accompaniment	əˈkʌmp.nɪ.mənt|əˈkʌmp.ni.mənt
accompaniments	əˈkʌmp.nɪ.mənts|əˈkʌmp.ni.mənts
accompanist	əˈkʌm.pə.nəst
accompany	əˈkʌm.pə.ni
accompanying	əˈkʌm.pə.ni.ɪŋ
accompli	ˌɑˈkɑm.pli|əˈkɑm.pli
accomplice	əˈkɑm.pləs
accomplices	əˈkɑm.plə.səz
accomplish	əˈkɑm.plɪʃ
accomplished	əˈkɑm.plɪʃt
accomplishes	əˈkɑm.plɪ.ʃɪz
accomplishing	əˈkɑm.plɪ.ʃɪŋ
accomplishment	əˈkɑm.plɪ.ʃmənt
accomplishments	əˈkɑm.plɪ.ʃmənts
accor	ˈækˌɔɹ
accor's	ˈæk.ɚz
accord	əˈkɔɹd
accord's	əˈkɔɹdz
accordance	əˈkɔɹ.dəns
accorded	əˈkɔɹ.dɪd
according	əˈkɔɹ.dɪŋ
accordingly	əˈkɔɹ.dɪŋ.li
accordion	əˈkɔɹ.di.ən
accordions	əˈkɔɹ.di.ənz
accords	əˈkɔɹdz
accost	əˈkɔst
accosted	əˈkɑ.stɪd
accosting	əˈkɑ.stɪŋ
account	əˈkaʊnt
account's	əˈkaʊnts
accountability	əˈkaʊn.təˌbɪ.lɪ.ti|əˈkaʊ.nə.bɪ.lɪ.ti
accountable	əˈkaʊn.tə.bəl|əˈkaʊ.nə.bəl
accountancy	əˈkaʊn.tən.si
accountant	əˈkaʊn.tənt
accountant's	əˈkaʊn.tənts
accountants	əˈkaʊn.tənts
accountants'	əˈkaʊn.tənts
accounted	əˈkaʊn.tɪd|əˈkaʊ.nəd
accountemp	əˈkaʊnˌtɛmp
accountemps	əˈkaʊnˌtɛmps
accounting	əˈkaʊn.tɪŋ|əˈkaʊ.nɪŋ
accounts	əˈkaʊnts
accouterment	əˈku.tɚ.mənt
accouterments	əˈku.tɚ.mənts
accoutrement	əˈku.tɚ.mənt
accoutrements	əˈku.tɚ.mənts
accra	ˈɑˌkɹɑ
accredit	əˌkɹɛ.dət
accreditation	əˌkɹɛ.dəˈteɪ.ʃən
accreditations	əˌkɹɛ.dəˈteɪ.ʃənz
accredited	əˈkɹɛd.ɪ.tɪd
accrediting	əˈkɹɛd.ə.tɪŋ
accreted	əˈkɹi.tɪd
accretion	əˈkɹi.ʃən
accrual	əˈkɹu.əl
accruals	əˈkɹu.əlz
accrue	əˈkɹu
accrued	əˈkɹud
accrues	əˈkɹuz
accruing	əˈkɹu.ɪŋ
accu	ˈæk.ju
accuhealth	ˈæk.juˌhɛlθ
accumulate	əˈkju.mjəˌleɪt
accumulated	əˈkju.mjəˌleɪ.tɪd
accumulates	əˈkju.mjəˌleɪts
accumulating	əˈkju.mjəˌleɪ.tɪŋ
accumulation	əˌkju.mjəˈleɪ.ʃən
accumulations	əˌkju.mjəˈleɪ.ʃənz
accumulative	əˈkju.mjəˌleɪ.tɪv
accumulatively	əˈkju.mjəˌleɪ.tɪv.li|əˈkju.mjə.ləˌtɪv.li
accumulator	əˈkju.mjəˌleɪ.tɚ
accumulators	əˈkju.mjəˌleɪ.tɚz
accuracies	ˈæk.jɚ.ə.siz
accuracy	ˈæk.jɚ.ə.si
accurate	ˈæk.jɚ.ət
accurately	ˈæk.jɚ.ət.li
accuray	ˈæk.jɚˌeɪ
accuray's	ˈæk.jɚˌeɪz
accuride	ˈæk.jɚˌaɪd
accursed	ˌæˈkɝst
accurso	ɑˈkʊɹ.soʊ
accusation	ˌæ.kjəˈzeɪ.ʃən|ˌæ.kjuˈzeɪ.ʃən
accusations	ˌæ.kjəˈzeɪ.ʃənz|ˌæ.kjuˈzeɪ.ʃənz
accusative	əˈkju.zə.tɪv
accusatory	əˈkju.zəˌtɔ.ɹi
accuse	əˈkjuz
accused	əˈkjuzd
accuser	əˈkju.zɚ
accusers	əˈkju.zɚz
accuses	əˈkju.zɪz
accusing	əˈkju.zɪŋ
accusingly	əˈkju.zɪŋ.li
accustom	əˈkʌs.təm
accustomed	əˈkʌs.təmd
accutane	ˈæk.juˌteɪn
ace	eɪs
acecomm	ˈeɪ.skɑm
aced	eɪst
acer	ˈeɪ.sɚ
acerbic	əˈsɛɹ.bɪk
acero	əˈsɛɹ.oʊ|əˈsjɛɹ.oʊ|əˈθɛɹ.oʊ
acerra	əˈsɛɹ.ə
aces	ˈeɪ.sɪz
acetaminophen	əˌsi.təˈmɪn.ə.fən
acetate	ˈæs.əˌteɪt
acetic	əˈsɛt.ɪk|əˈsi.tɪk
aceto	ɑˈsɛt.oʊ
acetochlor	ɑˈsɛt.oʊˌklɔɹ
acetone	ˈæs.əˌtoʊn
acetosyringone	əˌsɛ.toʊˈsɪɹ.ɪŋ.ɡɔn
acetylcholine	əˌsɛ.təlˈkoʊ.lin|əˌsi.təlˈkoʊ.lin
acetylene	əˈsɛt.əˌlin
acevedo	æ.səˈveɪ.doʊ
aceves	ɑˈseɪ.vɛs
acey	ˈeɪ.si
ach	ˈeɪˈsiˈeɪtʃ
achaean	əˈtʃi.ən
achatz	ˈæk.əts
ache	eɪk
achebe	ɑˈtʃeɪ.bi
ached	eɪkt
achee	əˈtʃi
achenbach	ˈæk.ɪn.bɑk
achenbaum	ˈæk.ənˌbaʊm
achene	əˈkin
achenes	əˈkinz
aches	eɪks
acheson	ˈætʃ.ə.sən
acheson's	ˈætʃ.ə.sənz
achesons	ˈætʃ.ə.sənz
achey	ˈætʃ.i
achieva	əˈtʃi.və
achievable	əˈtʃi.və.bəl
achieve	əˈtʃiv
achieved	əˈtʃivd
achievement	əˈtʃiv.mənt
achievements	əˈtʃiv.mənts
achiever	əˈtʃi.vɚ
achievers	əˈtʃi.vɚz
achieves	əˈtʃivz
achieving	əˈtʃi.vɪŋ
achill	ˈæk.ɪl
achill's	ˈæk.ɪlz
achille	əˈkɪl.i
achilles	əˈkɪl.iz
achilles'	əˈkɪl.iz
aching	ˈeɪ.kɪŋ
achingly	ˈeɪ.kɪŋ.li
achmed	ˈɑh.mɛd
achoa	əˈtʃoʊ.ə
achoa's	əˈtʃoʊ.əz
achoo	ˌɑˈtʃu
achor	ˈeɪ.kɚ
achord	ˈæk.ɔɹd
achorn	ˈæk.ɚn
achtenberg	ˈæk.tɛn.bɚɡ
achterberg	ˈæk.tɚ.bɚɡ
achy	ˈeɪ.ki
acid	ˈæs.əd
acidic	əˈsɪd.ɪk
acidification	əˌsɪ.də.fəˈkeɪ.ʃən
acidified	əˈsɪd.əˌfaɪd
acidifies	əˈsɪd.əˌfaɪz
acidify	əˈsɪd.əˌfaɪ
acidity	əˈsɪd.ə.ti
acidly	ˈæs.əd.li
acidosis	ˌæ.səˈdoʊ.səs
acids	ˈæs.ədz
aciduria	ˌæ.səˈdʊɹ.i.ə
acierno	ɑˈsɪɹ.noʊ
ack	æk
acker	ˈæk.ɚ
acker's	ˈæk.ɚz
ackerley	ˈæk.ɚ.li
ackerly	ˈæk.ɚ.li
